run,coldframe_ms,config_to_frame_ms
0,16.141,6.576
1,8.384,2.106
2,8.599,2.148
3,8.892,2.074
4,8.696,2.215
5,11.553,2.103
6,8.120,2.012
7,8.804,2.242
8,8.676,2.381
9,8.051,2.264
10,8.689,2.052
11,8.271,2.246
12,8.342,2.207
13,7.831,2.035
14,8.243,2.065
15,9.057,2.119
16,8.500,2.235
17,7.979,2.052
18,8.150,2.187
19,7.968,2.134
20,8.048,2.145
21,8.303,2.126
22,8.288,2.127
23,8.168,2.380
24,8.509,2.246
25,9.067,2.285
26,8.218,2.242
27,8.407,2.170
28,9.428,2.306
29,8.766,2.075
30,8.761,2.103
31,8.465,2.276
32,6.731,2.053
33,8.956,1.988
34,9.699,2.153
35,7.664,2.264
36,7.480,2.268
37,11.665,2.112
38,8.777,2.231
39,8.543,2.242
40,8.871,1.982
41,8.399,2.010
42,17.310,2.203
43,8.718,2.285
44,8.776,2.232
45,8.746,2.219
46,8.129,2.151
47,7.903,2.219
48,8.839,2.147
49,8.478,2.104
50,8.048,2.034
51,8.330,2.187
52,8.790,2.176
53,8.384,2.251
54,7.950,2.194
55,8.211,2.231
56,8.855,2.316
57,8.472,2.259
58,8.206,2.244
59,8.899,2.127
60,8.372,2.056
61,8.145,2.239
62,9.029,2.346
63,9.083,2.093
64,9.044,2.173
65,8.138,2.077
66,8.253,2.088
67,8.265,2.149
68,7.893,2.139
69,8.946,2.026
70,8.442,2.224
71,8.319,2.230
72,8.057,2.079
73,12.248,2.120
74,9.110,1.972
75,7.422,2.002
76,8.352,2.302
77,8.277,2.247
78,9.918,2.494
79,8.476,2.171
80,8.723,2.168
81,8.614,2.125
82,9.581,2.222
83,8.567,2.109
84,8.028,2.050
85,8.303,2.100
86,7.444,1.999
87,8.270,2.146
88,7.389,2.039
89,8.071,2.165
90,8.428,2.109
91,8.927,2.367
92,8.535,2.272
93,9.137,2.153
94,8.735,2.257
95,7.991,1.958
96,8.787,2.235
97,9.462,2.259
98,9.258,2.361
99,8.496,2.296
